paper_id,claim_id,claim_statement,claim_polarity,packet_status,packet_quality_score,reconciliation_disposition,reconciliation_effective_weight_ppm,odracir_assertion_id,sciengram_local_assertion_id,sciengram_canonical_claim_id,sciengram_canonical_statement,sciengram_alignment_confidence,sciengram_relation_observation_count,sciengram_has_belief_state
1_1,clm_057106ad9c30547446751f15,Perturb-seq combines pooled CRISPR screens with single-cell RNA-seq to dissect transcriptional effects of genetic perturbations at scale.,positive,provisional,0.889,deferred,311150,ga_bda63562e9730d55c329312e,local:1-1:paper-assertion:clm-057106ad9c30547446751f15,claim:e58106402e2919eec22d,perturb-seq combine pooled crispr screen with single-cell rna-seq to dissect transcriptional effect of genetic perturbation at scale.,1.0,0,False
1_1,clm_142e0091a78ab9f8b51d0b00,"Perturb-seq can scale to larger screens: genome-wide or combinatorial screens are feasible with increasing cell throughput and computational bandwidth, and future improvements (e.g., Cpf1, lineage tracing) are compatible.",positive,provisional,0.889,deferred,311150,ga_832719db019a751f47226f34,local:1-1:paper-assertion:clm-142e0091a78ab9f8b51d0b00,claim:575cbbb794865f42bd69,perturb-seq can scale to larger screen genome-wide or combinatorial screen are feasible with increasing cell throughput and computational bandwidth and future improvement e.g. cpf1 lineage tracing are compatible.,1.0,0,False
1_1,clm_47f428ddd19e45d5d65e755d,"In K562 cells, Perturb-seq reveals TF modules and cell-cycle regulator effects consistent with known biology, and cell-state covariates improve reproducibility of TF-specific effects.",positive,provisional,0.889,deferred,311150,ga_5be5c151f751ef7dbebd24a0,local:1-1:paper-assertion:clm-47f428ddd19e45d5d65e755d,claim:2e618080d653765f8c8f,in k562 cell perturb-seq reveal tf module and cell-cycle regulator effect consistent with known biology and cell-state covariate improve reproducibility of tf-specific effect.,1.0,0,False
1_1,clm_62ade7c9ca8cfc017a9baf44,"TF binding patterns (ChIP-seq) support the model's predictions: activating TFs' targets are downregulated upon perturbation, and repressors' targets are upregulated; genetic interactions are associated with co-binding.",positive,provisional,0.889,deferred,311150,ga_41bd1e4267d936539f300827,local:1-1:paper-assertion:clm-62ade7c9ca8cfc017a9baf44,claim:4f8d2fd896993c9f361c,tf binding pattern chip-seq support the model s prediction activating tfs target are downregulated upon perturbation and repressor target are upregulated genetic interaction are associated with co-binding.,1.0,0,False
1_1,clm_7c422f7378f8a317318fa351,"In BMDCs, transcription factors partition into five modules (M1–M5) with distinct regulatory effects on LPS-response programs (P1–P5), including opposing regulation of alternative differentiation states.",positive,provisional,0.889,deferred,311150,ga_42f01830e15a5909011d43be,local:1-1:paper-assertion:clm-7c422f7378f8a317318fa351,claim:99762a7b6089b778a35b,in bmdc transcription factor partition into five module m1 m5 with distinct regulatory effect on lps-response program p1 p5 including opposing regulation of alternative differentiation state.,1.0,0,False
1_1,clm_a29925936410f0c0c7c64a8a,"MIMOSCA, a regularized linear model with elastic net, can estimate perturbation effects on gene expression while accounting for technical and biological covariates and can incorporate interaction terms.",positive,provisional,0.889,deferred,311150,ga_4e9e42a9a1fb7f0722f00bb0,local:1-1:paper-assertion:clm-a29925936410f0c0c7c64a8a,claim:f3840ad13d12d1770cb2,mimosca a regularized linear model with elastic net can estimate perturbation effect on gene expression while accounting for technical and biological covariate and can incorporate interaction term.,1.0,0,False
1_2,clm_3c5dce570e0f0473ff328291,"CROP-seq identifies known activators (LCK, ZAP70, LAT) and repressors (PTPN6, PTPN11, EGR3) of TCR signaling in Jurkat cells, validated by bulk RNA-seq and flow cytometry.",positive,provisional,0.962,deferred,336700,ga_1d93260ab618c2cd9b5873bd,local:1-2:paper-assertion:clm-3c5dce570e0f0473ff328291,claim:80c10b3bb73d507648fb,crop-seq identify known activator lck zap70 lat and repressor ptpn6 ptpn11 egr3 of tcr signaling in jurkat cell validated by bulk rna-seq and flow cytometry.,1.0,0,False
1_2,clm_7d4f5fb3322ca6b7bc41827d,The CROPseq-Guide-Puro vector does not compromise lentiviral function or genome editing efficiency compared to the standard LentiGuide-Puro vector.,positive,provisional,0.962,deferred,336700,ga_4cea6d18cf7afc8b423b822a,local:1-2:paper-assertion:clm-7d4f5fb3322ca6b7bc41827d,claim:5e6c2d2ddc9586acb8fd,the cropseq-guide-puro vector compromise lentiviral function or genome editing efficiency compared to the standard lentiguide-puro vector.,1.0,0,False
1_2,clm_a967ac50af1940045e85f044,CROP-seq enables pooled CRISPR screens with single-cell transcriptome readout by engineering a gRNA vector that makes individual gRNAs detectable in single-cell RNA-seq and combining it with a high-throughput single-cell RNA-seq assay.,positive,provisional,0.962,deferred,336700,ga_8869140629cb8c3e5720b1a9,local:1-2:paper-assertion:clm-a967ac50af1940045e85f044,claim:41317e97d09645392dec,crop-seq enable pooled crispr screen with single-cell transcriptome readout by engineering a grna vector that make individual grna detectable in single-cell rna-seq and combining it with a high-throughput single-cell rna-seq assay.,1.0,0,False
1_2,clm_b415f7fbded636876c401da2,"CROP-seq can derive gene signatures directly from single-cell data using transcriptomes of cells with nontargeting gRNAs, making the assay self-calibrating and independent of prior knowledge.",positive,provisional,0.962,deferred,336700,ga_fb4617d9aa5b4f96c6a8152f,local:1-2:paper-assertion:clm-b415f7fbded636876c401da2,claim:7faa73ffff79af446ff0,crop-seq can derive gene signature directly from single-cell data using transcriptome of cell with nontargeting grna making the assay self-calibrating and independent of prior knowledge.,1.0,0,False
